	0	1	2	3	4
273	A10786	B17998	B8701		
274	A10808	B21320	B8719		
275	A10830	B8738	A16833		
276	A10854	B11789	B8760		
277	A10855	B10320	B8761		
278	A10886	B15072	B8786		
279	A10895	B13394	B8796		
280	A10900	B8801	A23760		
281	A10935	B23084	B8830		
282	A10939	B8833	A29612		
283	A10962	B8850	A14919		
284	A11038	B21948	B8913		
285	A11062	B8933	A23316		
286	A11068	B8940	A11467		
287	A11077	B23460	B8947		
288	A11159	B9014	A16933		
289	A11213	B12595	B9054		
290	A11216	B9057	A20386		
291	A11240	B9077	A16113		
292	A11254	B9090	A17623		
293	A11267	B9102	A23940		
294	A11282	B13871	B9113		
295	A11297	B9125	A21380		
296	A11303	B13436	B9130		
297	A11411	D5262	D4248		
298	C2057	D4252	C3382		
299	A11484	B9279	A21444		
300	A11525	D4301	A17816		
301	A11562	B9337	A13710		
302	A11577	B9353	A20044		
303	A11729	B9480	A29201		
304	C2157	D7180	D4410		
305	A11766	B9512	A20062		
306	A11835	B16367	B9572		
307	A11882	B11370	B9617		
308	A11886	B18643	B9620		
309	A12020	B9733	A17835		
310	A12125	B23226	B9814		
311	A12126	B11726	B9815		
312	A12179	B13114	B9861		
313	A12213	B9891	A24728		
314	A12235	B24530	B9908		
315	A12307	B24467	B9963		
316	A12313	B9969	A14096		
317	A12342	B12203	B9991		
318	A12470	B15773	B10094		
319	A12530	B10140	A21740		
320	A12684	B15497	B10269		
321	A12738	B10314	A15097		
322	A12825	D4831	A17534		
323	A12862	B21384	B10416		
324	A12974	B17972	B10505		
325	A13011	B10537	A25857		
326	A13041	B10565	A17339		
327	A13048	B10571	A23017		
328	A13051	B22749	B10574		
329	A13146	B22982	B10645		
330	A13240	B10720	A21238		
331	C2489	B10840	C2671		
332	A13456	B10908	A17801		
333	A13462	D8126	D5067		
334	C2536	B12294	B10995		
335	A13646	B11066	A29792		
336	A13647	B11067	A14351		
337	A13693	B11107	A27058		
338	A13772	B11172	A14682		
339	A13782	B24411	D5197		
340	C2603	D5231	C3309		
341	A13861	B11245	A27432		
342	A13951	B20264	B11313		
343	A13982	D5288	D5287		
344	A13988	D5291	A29770		
345	A13995	B11350	A26752		
346	A14033	B11383	A28868		
347	C2650	B11437	C5112		
348	A14101	D5324	A28531		
349	A14102	B11443	A15711		
350	C2679	D9043	D5382		
351	A14268	B13085	B11576		
352	A14290	B11595	A16631		
353	C2705	D5427	C3079		
354	A14501	B14688	B11759		
355	A14573	B18191	B11824		
356	A14614	B18391	B11864		
357	A14774	B12148	B11985		
358	A14810	B12710	B12017		
359	C2811	D10105	D5628		
360	A14903	B19236	B12091		
361	A14926	B21392	B12106		
362	A14939	B12120	A27329		
363	A14944	B12125	A27038		
364	C2846	D5689	C4045		
365	A15086	B12239	A17807		
366	A15094	B12247	A16411		
367	A15151	B12295	A20079		
368	A15162	B12304	A15434		
369	A15194	B24701	D5759		
370	A15265	B16486	B12387		
371	C2904	D5797	C4895		
372	A15290	D5799	A18102		
373	A15338	B12451	A23629		
374	A15341	B14267	B12454		
375	A15508	B20468	B12603		
376	C2959	D5876	C6006		
377	A15556	B12644	A27868		
378	A15587	B12671	A28667		
379	A15638	B14016	B12719		
380	A15656	B14549	B12737		
381	A15727	B12788	A16677		
382	A15745	B20058	B12801		
383	C3017	D7064	B12816		
384	A15767	D11417	B12824		
385	A15801	B12853	A28656		
386	A15963	B17954	B12988		
387	A15977	B12999	A29512		
388	A15981	B21924	B13002		
389	A16079	B13089	A29427		
390	A16122	D6132	A25715		
391	C3128	D9325	D6140		
392	A16146	B13144	A17009		
393	A16240	B18367	B13217		
394	A16273	B13248	A27721		
395	A16364	D6230	A23582		
396	A16447	B13393	A25997		
397	A16461	B22513	B13404		
398	A16515	B13444	A28901		
399	C3238	B17264	B13486		
400	A16637	B21353	B13535		
401	A16649	B18239	B13545		
402	A16664	B13557	A21014		
403	A16726	B13783	B13613		
404	A16733	B13619	A25780		
405	A16853	B13717	A19500		
406	A16880	B13741	A22226		
407	A16881	B13962	B13742		
408	A16893	B17087	B13754		
409	A16895	B13756	A29214		
410	A17010	B14394	B13859		
411	A17015	B17809	B13863		
412	A17020	B13867	A27386		
413	A17027	B22075	B13873		
414	C3395	D9719	D6612		
415	A17394	B18564	B14165		
416	A17491	B22635	B14245		
417	A17710	B14428	A24168		
418	A17734	B16197	B14449		
419	A17784	D10717	B14488		
420	A17803	B21331	B14501		
421	A17806	B23371	B14503		
422	A17819	B14511	A26329		
423	A17882	B14566	A28549		
424	A17995	B15800	B14652		
425	A18037	B22669	B14691		
426	A18049	B14704	A23808		
427	A18086	D8764	D6928		
428	A18089	B14737	A25075		
429	A18456	B18265	B15039		
430	A18523	B15091	A22030		
431	A18574	B19256	B15135		
432	A18591	B20170	B15152		
433	C3690	B15158	C5654		
434	A18616	B15173	A29194		
435	A18739	B15275	A23978		
436	A18790	B20456	B15320		
437	C3738	D10674	D7226		
438	A18849	B24676	B15367		
439	A18856	B20073	B15372		
440	A18870	B15882	B15383		
441	A18878	B15391	A25331		
442	A19003	B20205	B15491		
443	C3782	D10187	D7307		
444	A19112	B19755	B15581		
445	A19150	B15615	A19811		
446	A19241	B15690	A26964		
447	A19274	B15715	A26922		
448	A19372	B21889	B15798		
449	A19397	B15821	A29337		
450	C3859	D7460	C4152		
451	A19481	B15884	A24994		
452	A19643	B20571	B16022		
453	A19672	B16043	A24823		
454	A19710	B16080	A25849		
455	C3945	D7593	C4496		
456	A19775	B21824	B16137		
457	A19780	B24828	B16141		
458	A19788	B19495	B16148		
459	C3966	D7626	C5488		
460	A19873	D7646	A29595		
461	A19903	B16249	A20686		
462	A20026	B19369	B16350		
463	A20080	B16390	A23783		
464	A20231	B22276	B16516		
465	A20266	D9167	D7792		
466	A20275	B16558	A29331		
467	A20320	B16595	A29413		
468	C4093	D8360	D7851		
469	A20536	B16762	A26987		
470	A20547	D9248	B16770		
471	A20572	B17091	B16790		
472	A20584	B22677	B16802		
473	A20645	B16852	A22820		
474	C4150	D7959	C5765		
475	A20704	B18456	B16900		
476	A20869	B22654	B17038		
477	A21063	B17198	A22195		
478	A21178	B18223	B17297		
479	A21403	B23481	B17488		
480	A21655	B23089	B17704		
481	A21671	B17719	A22461		
482	C4382	D9054	D8350		
483	A21732	B21663	B17773		
484	A21741	B23571	B17779		
485	A21759	B17794	A23570		
486	C4395	D9090	D8375		
487	A21889	B19121	B17909		
488	A21919	B22452	B17935		
489	A21928	B17944	A27091		
490	A22035	B20537	B18035		
491	A22073	B19706	B18069		
492	A22159	B18137	A23771		
493	A22282	B21461	B18242		
494	A22839	B18722	A26309		
495	A22847	B18729	A23430		
496	A22996	B19831	B18861		
497	A23046	B18903	A28636		
498	A23539	B19311	A29751		
499	A23612	B19379	A25453		
500	A23753	B19490	A29286		
501	A23785	B19517	A25490		
502	A23857	D9165	D9164		
503	A23996	B19690	A28211		
504	A24186	B19841	A26050		
505	A24240	D9313	A27742		
506	A24298	B23613	B19932		
507	A24754	D11235	B20303		
508	C5095	D9580	C5640		
509	A25160	B21302	B20642		
510	A25234	B21439	B20703		
511	A25372	D9784	A26740		
512	C5275	D10165	D9918		
513	A25864	D9968	A29479		
514	A26097	D10070	A29603		
515	A26338	B24782	B21612		
516	A26637	B21856	A29710		
517	A26714	D10306	A28895		
518	A26831	B24212	B22014		
519	C5569	B22219	A30262		
520	A27153	B22274	A27627		
521	A27257	D10518	A27515		
522	A27258	B22769	B22362		
523	A27446	B23390	B22525		
524	C5670	D11230	D10623		
525	A27985	B23568	B22972		
526	A28111	B23076	A29199		
527	A28182	B23743	B23139		
528	A28354	B23815	B23277		
529	A29091	D11244	A29168		
530	A29872	B24845	B24524		
531	A1	B1			
532	C1	D1			
533	A3	B2			
534	A4	B3			
535	A5	B4			
536	A6	B5			
537	C2	D3			
538	A7	B6			
539	A8	B7			
540	A9	D4			
541	A10	B8			
542	A11	B9			
543	A12	D5			
544	A13	D6			
545	A14	D7			
546	A15	B10			
547	A16	D8			
548	A17	B11			
549	A18	B12			
550	A19	D9			
551	A20	D10			
552	A21	D11			
553	A22	B13			
554	A23	B14			
555	A24	B15			
556	A25	B16			
557	A26	B17			
558	A27	B18			
559	A28	D12			
560	A29	B19			
561	C3	D13			
562	A30	D14			
563	A31	B20			
564	A32	D15			
565	A33	B21			
566	C4	B22			
567	A34	B23			
568	A35	D16			
569	A36	B24			
570	A37	D17			
571	C5	D18			
572	A38	D19			
573	A39	D20			
574	C6	D21			
575	A40	D22			
576	A41	D23			
577	A42	B25			
578	A43	B26			
579	A44	B27			
580	A45	B28			
581	A46	B29			
582	A47	B30			
583	A48	D24			
584	A49	B31			
585	A50	B32			
586	A51	B33			
587	A52	B34			
588	A53	B35			
589	A54	B36			
590	A55	B37			
591	A56	B38			
592	C7	D25			
593	A57	B39			
594	A58	B40			
595	A59	D26			
596	A60	B41			
597	A61	B42			
598	A62	D27			
599	A63	B43			
600	C8	B44			
601	A64	B45			
602	A65	B46			
603	A66	B47			
604	A67	D28			
605	A68	B48			
606	A69	B49			
607	A70	B50			
608	A71	B51			
609	A72	B52			
610	A73	B53			
611	A74	D29			
612	A75	D30			
613	A76	B54			
614	A77	D31			
615	A78	B55			
616	A79	B56			
617	C9	D32			
618	A80	B57			
619	A81	B58			
620	A82	B59			
621	A84	B61			
622	A85	B62			
623	A86	D33			
624	A87	B63			
625	A88	D34			
626	A89	B64			
627	A90	B65			
628	A91	B66			
629	A92	B67			
630	A93	D35			
631	A94	D36			
632	C10	D37			
633	C11	D38			
634	A95	B68			
635	A96	B69			
636	A97	B70			
637	A98	B71			
638	A99	D39			
639	A100	B72			
640	A101	B73			
641	A102	B74			
642	A103	B75			
643	A104	B76			
644	A105	B77			
645	A106	B78			
646	C12	D40			
647	A107	B79			
648	A108	B80			
649	C13	D41			
650	A109	B81			
651	A110	D42			
652	A111	B82			
653	A112	B83			
654	A113	D43			
655	A114	B84			
656	A115	B85			
657	A116	D44			
658	A117	B86			
659	A118	B87			
660	A119	B88			
661	A120	B89			
662	A121	B90			
663	A122	B91			
664	A123	B92			
665	A124	B93			
666	A125	B94			
667	C14	D45			
668	A126	B95			
669	A127	B96			
670	A128	D46			
671	A129	B97			
672	A130	D47			
673	A131	B98			
674	A132	D48			
675	A133	B99			
676	A134	B100			
677	A135	D49			
678	A136	B101			
679	A137	D50			
680	A138	D51			
681	C15	D52			
682	C16	D53			
683	A140	D54			
684	A141	B103			
685	A142	D55			
686	A143	B104			
687	A144	B105			
688	A145	B106			
689	A146	B107			
690	C17	D56			
691	C18	D57			
692	A147	B108			
693	C19	D58			
694	A148	B109			
695	A149	B110			
696	C20	D59			
697	A150	B111			
698	A151	B112			
699	A152	B113			
700	A153	B114			
701	A154	B115			
702	A155	B116			
703	A156	D60			
704	A157	B117			
705	A158	B118			
706	A159	D61			
707	A160	B119			
708	A161	B120			
709	A162	B121			
710	A163	B122			
711	A164	D63			
712	A165	D64			
713	C22	B123			
714	A166	B124			
715	A167	B125			
716	A168	B126			
717	A169	B127			
718	A170	D65			
719	A171	D66			
720	A172	B128			
721	A173	D67			
722	C23	D68			
723	A174	B129			
724	A175	B130			
725	A176	B131			
726	A177	B132			
727	A178	B133			
728	A179	B134			
729	A180	B135			
730	A181	B136			
731	A182	B137			
732	A183	B138			
733	A184	B139			
734	C24	D69			
735	A185	B140			
736	A186	D70			
737	A187	B141			
738	A188	B142			
739	C25	D71			
740	A189	B143			
741	A190	B144			
742	A191	B145			
743	A192	D72			
744	A193	B146			
745	A194	B147			
746	C26	D73			
747	A195	B148			
748	A196	B149			
749	A197	D74			
750	A198	B150			
751	A199	B151			
752	A200	B152			
753	A201	B153			
754	C27	D75			
755	A202	B154			
756	A203	B155			
757	A204	B156			
758	A205	B157			
759	A206	B158			
760	A207	D76			
761	A208	B159			
762	A209	B160			
763	A210	B161			
764	A211	B162			
765	A212	B163			
766	A213	D77			
767	A214	B164			
768	A215	B165			
769	A216	D78			
770	A217	B166			
771	A218	B167			
772	A219	B168			
773	A220	B169			
774	A222	B171			
775	A223	B172			
776	A224	D79			
777	C28	D80			
778	A225	B173			
779	A226	D81			
780	A227	B174			
781	A228	B175			
782	A229	B176			
783	A230	B177			
784	A231	B178			
785	A232	D82			
786	A233	D83			
787	A234	D84			
788	A235	B179			
789	A236	B180			
790	C29	D85			
791	A237	B181			
792	A238	B182			
793	A239	B183			
794	A240	B184			
795	A241	B185			
796	A242	B186			
797	A243	D86			
798	A244	B187			
799	C30	D87			
800	C31	D88			
801	C32	D89			
802	A245	B188			
803	A246	D90			
804	A247	B189			
805	A248	B190			
806	A249	B191			
807	A250	B192			
808	A251	B193			
809	A252	B194			
810	A253	D91			
811	A254	B195			
812	A255	D92			
813	A256	B196			
814	A257	B197			
815	A258	B198			
816	A259	D93			
817	A260	D94			
818	A261	B199			
819	A262	B200			
820	C33	D95			
821	A264	B202			
822	A265	D96			
823	A266	B203			
824	A267	B204			
825	A268	B205			
826	A269	B206			
827	A270	B207			
828	A271	B208			
829	A272	D97			
830	C34	D98			
831	A273	B209			
832	A274	D99			
833	A275	B210			
834	A276	B211			
835	A277	B212			
836	A278	B213			
837	A279	D100			
838	A280	B214			
839	A281	D101			
840	A282	B215			
841	A283	D102			
842	A284	D103			
843	A285	B216			
844	A286	B217			
845	A287	B218			
846	A288	D104			
847	A289	D105			
848	A290	B219			
849	A291	B220			
850	C36	D107			
851	C37	D108			
852	A292	B221			
853	A293	B222			
854	A294	B223			
855	A295	B224			
856	C38	D109			
857	A296	B225			
858	A297	B226			
859	C39	D110			
860	A298	B227			
861	A299	B228			
862	A300	B229			
863	A301	B230			
864	A302	B231			
865	A303	B232			
866	A304	B233			
867	A305	B234			
868	A306	B235			
869	A308	D111			
870	A309	B237			
871	A310	B238			
872	A311	B239			
873	A312	B240			
874	A313	B241			
875	A314	B242			
876	A315	B243			
877	A316	D112			
878	A317	B244			
879	A318	B245			
880	A319	B246			
881	A320	B247			
882	A321	B248			
883	A322	B249			
884	A323	B250			
885	A324	B251			
886	A325	B252			
887	A326	D113			
888	A327	D114			
889	A328	B253			
890	A329	D115			
891	A330	B254			
892	A331	B255			
893	A332	B256			
894	A333	B257			
895	A334	B258			
896	A335	B259			
897	A336	B260			
898	A337	B261			
899	A338	B262			
900	C40	D116			
901	A339	B263			
902	A340	B264			
903	A341	B265			
904	A342	B266			
905	A343	B267			
906	A344	B268			
907	C41	D117			
908	A346	D118			
909	C42	B270			
910	A347	B271			
911	C43	D119			
912	C44	D120			
913	A348	B272			
914	A349	B273			
915	A350	B274			
916	A351	B275			
917	A352	B276			
918	A353	D121			
919	A354	B277			
920	C45	D122			
921	A355	D123			
922	A356	D124			
923	A357	B278			
924	A358	B279			
925	A359	B280			
926	A360	B281			
927	A361	B282			
928	A362	B283			
929	A364	D125			
930	A365	D126			
931	A366	B285			
932	A367	B286			
933	C46	D127			
934	A369	B288			
935	A370	B289			
936	A371	B290			
937	A372	B291			
938	A373	B292			
939	A374	B293			
940	A375	B294			
941	A376	D128			
942	A377	B295			
943	A378	B296			
944	A380	D129			
945	C47	D130			
946	A381	B298			
947	A383	D131			
948	C48	B300			
949	A384	B301			
950	A386	D133			
951	A387	B302			
952	C49	B303			
953	A388	B304			
954	A389	B305			
955	C50	D134			
956	A390	B306			
957	A391	B307			
958	A392	B308			
959	A393	B309			
960	A394	B310			
961	C51	D135			
962	A395	B311			
963	A396	D136			
964	A397	D137			
965	A398	B312			
966	A399	B313			
967	A400	B314			
968	A401	B315			
969	A402	B316			
970	A403	B317			
971	A404	D138			
972	A405	B318			
973	A406	B319			
974	A407	B320			
975	A408	D139			
976	C52	D140			
977	A409	D141			
978	A410	B321			
979	A411	B322			
980	A412	B323			
981	A413	B324			
982	A414	B325			
983	C53	D142			
984	A415	B326			
985	A416	B327			
986	A417	D143			
987	A418	B328			
988	A420	B330			
989	A421	B331			
990	A422	B332			
991	A423	B333			
992	A424	B334			
993	A425	B335			
994	A426	B336			
995	A427	B337			
996	A428	B338			
997	A429	B339			
998	A430	B340			
999	A431	B341			
1000	A432	D144			
1001	A433	D145			
1002	A435	B342			
1003	A436	B343			
1004	A437	B344			
1005	A438	B345			
1006	A439	D147			
1007	A440	D148			
1008	A441	B346			
1009	A442	B347			
1010	A443	B348			
1011	C54	D149			
1012	A444	B349			
1013	A445	B350			
1014	C55	D150			
1015	A446	B351			
1016	A447	B352			
1017	A448	B353			
1018	C56	B354			
1019	A449	B355			
1020	A450	D151			
1021	A451	B356			
1022	A452	B357			
1023	A453	B358			
1024	A454	D152			
1025	A455	B359			
1026	A456	B360			
1027	A457	B361			
1028	A458	B362			
1029	A459	B363			
1030	A460	B364			
1031	A461	B365			
1032	A462	B366			
1033	A463	D153			
1034	A464	B367			
1035	A465	D154			
1036	C57	D155			
1037	C58	D156			
1038	A466	D157			
1039	C59	D158			
1040	A467	D159			
1041	A468	B368			
1042	A469	D160			
1043	A470	B369			
1044	C60	D161			
1045	A471	B370			
1046	A472	D162			
1047	A473	B371			
1048	C61	D163			
1049	A474	D164			
1050	A475	B372			
1051	A476	B373			
1052	A477	B374			
1053	A478	B375			
1054	A479	B376			
1055	A480	B377			
1056	A481	B378			
1057	A482	B379			
1058	A483	B380			
1059	A484	B381			
1060	A485	D165			
1061	A486	B382			
1062	A487	B383			
1063	A488	B384			
1064	A489	D166			
1065	A490	B385			
1066	C62	D167			
1067	A492	B387			
1068	A493	B388			
1069	A494	B389			
1070	A495	B390			
1071	A496	D168			
1072	A497	B391			
1073	A498	D169			
1074	A499	B392			
1075	A500	B393			
1076	A501	D170			
1077	C63	D171			
1078	A503	D172			
1079	A504	B395			
1080	A505	B396			
1081	A506	B397			
1082	A507	B398			
1083	A508	B399			
1084	C64	B401			
1085	A510	B402			
1086	A511	B403			
1087	A512	B404			
1088	C65	D173			
1089	A513	B405			
1090	A514	B406			
1091	A515	B407			
1092	A516	B408			
1093	A517	B409			
1094	A518	B410			
1095	A519	B411			
1096	A520	B412			
1097	A521	B413			
1098	C66	B414			
1099	A522	B415			
1100	A523	D174			
1101	C67	D175			
1102	A524	B416			
1103	A525	B417			
1104	A526	D176			
1105	A527	B418			
1106	A528	B419			
1107	A529	B420			
1108	C68	D177			
1109	A530	B421			
1110	A531	B422			
1111	A532	B423			
1112	A533	D178			
1113	A534	B424			
1114	A535	B425			
1115	A536	D179			
1116	A537	B426			
1117	A538	D180			
1118	A539	D181			
1119	A540	D182			
1120	A541	B427			
1121	A542	B428			
1122	A543	D183			
1123	A544	B429			
1124	A545	B430			
1125	C69	D184			
1126	A546	D185			
1127	A547	B431			
1128	A548	B432			
1129	A549	B433			
1130	A550	B434			
1131	A551	B435			
1132	A552	D186			
1133	C70	B436			
1134	A553	B437			
1135	A554	D187			
1136	A555	B438			
1137	C71	B439			
1138	A556	B440			
1139	A557	B441			
1140	A558	B442			
1141	A559	B443			
1142	C72	B444			
1143	A560	B445			
1144	A561	B446			
1145	A562	B447			
1146	A563	D188			
1147	A564	B448			
1148	A566	B449			
1149	A567	B450			
1150	A568	B451			
1151	A569	B452			
1152	A570	B453			
1153	C74	D191			
1154	A572	B455			
1155	C75	D192			
1156	A573	B456			
1157	A574	B457			
1158	A575	D193			
1159	A576	D194			
1160	A577	D195			
1161	A578	B458			
1162	A579	B459			
1163	A580	B460			
1164	A581	B461			
1165	A582	B462			
1166	A583	B463			
1167	C76	B464			
1168	A584	B465			
1169	A585	B466			
1170	A586	B467			
1171	A587	B468			
1172	A588	B469			
1173	A589	D196			
1174	A590	B470			
1175	A591	B471			
1176	A592	D197			
1177	A593	B472			
1178	A594	B473			
1179	A595	B474			
1180	A596	B475			
1181	A597	B476			
1182	A598	B477			
